livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
30.0,0.0,,1.0,,,4.0,,,50.8206334,4.3880549,,flatStudio,Brussels,Brussels,G,B,Fully equipped,Gas,0,0,0,0,0,0,0,0,0,0,950.0,77.5
,2.0,1.0,1.0,,,4.0,207.0,,51.0360946,3.7108051,,flat,East Flanders,Flanders,C,B,Fully equipped,Gas,0,0,1,0,0,1,0,0,0,1,1300.0,49.1
101.0,3.0,1.0,,,,,,,50.8519958,4.337857,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,1450.0,56.6
84.0,2.0,1.0,,,,,,,50.8654814,4.3601457,,flat,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,1150.0,64.7
72.0,1.0,,1.0,,,,,,50.8295132,4.3140636,3.16,flat,Brussels,Brussels,,New,,Hot air,1,0,1,0,0,0,0,0,0,0,1050.0,65.6
50.0,1.0,1.0,,2026.0,2.0,4.0,71.0,,50.8302685,4.350629,1.83,flat,Brussels,Brussels,B,New,Super equipped,,0,0,1,0,0,0,0,0,0,0,1300.0,78.0
100.0,2.0,2.0,2.0,2017.0,3.0,,,,50.8427501,4.3515499,0.45,penthouse,Brussels,Brussels,,Excellent,Super equipped,Gas,0,1,1,0,0,1,1,0,1,0,2100.0,87.1
220.0,3.0,2.0,,,,,,,50.7404107,3.2107033,,flat,Hainaut,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,1450.0,16.4
85.0,2.0,1.0,,,,,,,50.8729548,4.7107949,,flat,Flemish Brabant,Flanders,C,,,,0,0,0,0,0,0,0,0,0,0,1000.0,68.0
64.0,2.0,1.0,,,,,,,51.1469726,2.7145592,,flat,West Flanders,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,3572.0,60.4
118.0,3.0,1.0,,,,,,,50.4983751,3.65378095,,house,Hainaut,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,980.0,46.6
156.0,3.0,1.0,,,3.0,,244.0,,50.5810556,4.4181266,,house,Walloon Brabant,Wallonie,C,A,Super equipped,,0,0,1,1,0,0,1,0,0,1,1500.0,34.7
253.0,3.0,2.0,0.0,,4.0,,354.0,,51.0154416,3.646008,,house,East Flanders,Flanders,D,,,Electricity,0,0,0,0,0,0,0,0,0,0,1375.0,34.3
90.0,2.0,1.0,1.0,,2.0,,142.0,,50.8313484,4.4188519,5.13,flat,Brussels,Brussels,C,Normal,Super equipped,Gas,0,0,1,0,0,1,1,0,0,1,1450.0,68.5
131.0,3.0,1.0,2.0,2000.0,2.0,2.0,126.0,332.0,50.8346685,3.3873942,,house,West Flanders,Flanders,B,B,Fully equipped,Gas,0,0,1,0,0,0,0,0,0,1,935.0,7.6
116.0,2.0,1.0,1.0,,3.0,,180.0,,50.6488497,5.5498924,,flat,Liège,Wallonie,C,,Fully equipped,Gas,0,0,0,0,0,0,0,0,0,1,900.0,36.1
103.0,3.0,1.0,2.0,1900.0,2.0,3.0,154.0,,50.4674593,4.8718068,0.01,flat,Namur,Wallonia,B,Excellent,,Gas,0,0,0,0,0,1,1,0,0,1,1300.0,50.0
123.0,2.0,1.0,2.0,,2.0,,140.0,,51.0379833,3.7128221,,house,East Flanders,Flanders,B,,Fully equipped,Gas,0,0,1,0,0,1,0,0,0,0,1385.0,51.2
112.0,3.0,1.0,,2002.0,,,136.0,,50.6198966,5.5639758,2.88,flat,Liège,Wallonia,B,Normal,,Gas,0,0,1,1,0,1,1,0,0,0,1100.0,36.1
91.0,2.0,1.0,1.0,2023.0,2.0,5.0,45.0,,50.8562875,4.4355043,6.1,flat,Brussels,Brussels,A,New,Super equipped,Gas,0,0,1,0,0,1,1,0,0,1,1450.0,75.2
210.0,3.0,1.0,3.0,2011.0,3.0,3.0,95.0,350.0,51.4254256,4.462285,,house,Antwerp,Flanders,A,A,,Gas,0,0,1,1,0,0,1,0,0,1,1695.0,18.4
,,,,,,,,,50.8322415,4.363986,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,1600.0,88.2
70.0,2.0,1.0,,,,,,,50.8445155,4.3446918,,flat,Brussels,Brussels,D,,,,0,0,0,0,0,0,0,0,0,0,1400.0,85.6
180.0,6.0,4.0,,,2.0,2.0,,70.0,50.8506076,4.3823626,,house,Brussels,Brussels,,A,Fully equipped,,0,0,1,0,0,0,0,0,0,0,2390.0,72.4
160.0,3.0,1.0,2.0,,4.0,2.0,,641.0,51.0203319,5.599578699999999,,house,Limburg,Flanders,D,B,,Gas,0,0,0,0,0,0,0,0,0,0,1250.0,22.5
98.0,2.0,1.0,2.0,,2.0,6.0,178.0,,50.8157365,4.3839155,,flat,Brussels,Brussels,D,B,Fully equipped,,0,0,1,0,0,1,0,0,0,0,1500.0,75.3
79.0,2.0,1.0,,2018.0,,8.0,,,50.8689361,4.3355078,2.67,flat,Brussels,Brussels,,Excellent,,Hot air,0,0,0,0,0,0,0,0,0,0,1150.0,71.1
195.0,4.0,2.0,1.0,,2.0,2.0,372.0,,50.8405209,4.352368,0.71,house,Brussels,Brussels,G,Fully renovated,Super equipped,Gas,0,0,1,0,0,0,1,0,0,0,2800.0,91.1
,1.0,1.0,1.0,,,,301.0,,51.1222656,3.8320439,,house,East Flanders,Flanders,D,,Not equipped,,0,0,0,0,0,0,0,0,0,1,850.0,35.7
70.0,2.0,1.0,,,,,,,50.58511765,3.62229683,,flat,Hainaut,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,650.0,17.0
110.0,3.0,1.0,2.0,,2.0,,237.0,,49.83182919999999,5.7388802,,flat,Luxembourg,Wallonie,C,A,Fully equipped,Electricity,0,0,1,0,0,0,0,0,0,0,1695.0,22.8
203.0,3.0,1.0,,,2.0,3.0,135.0,,51.0250513,4.4766917,0.41,triplex,Antwerp,Flanders,B,Normal,,,0,0,1,0,0,0,0,0,0,0,1790.0,42.6
90.0,2.0,1.0,,,,,,,49.8141271,5.4452084,,flat,Luxembourg,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,660.0,7.3
241.0,4.0,1.0,2.0,,3.0,,208.0,,50.6890472,3.3245942,10.19,house,Hainaut,Wallonia,C,Excellent,Fully equipped,Fuel oil,0,0,1,1,0,0,0,1,0,1,1375.0,6.0
51.0,1.0,1.0,,1972.0,2.0,7.0,207.0,,51.2272703,2.9130127,0.34,flat,West Flanders,Flanders,C,Excellent,,Gas,0,0,1,0,0,1,0,0,0,0,730.0,33.5
410.0,4.0,1.0,,,,,,,50.55209663,3.47327169,,house,Hainaut,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,1600.0,12.1
156.0,3.0,1.0,,,,,,,50.5810556,4.4181266,,house,Walloon Brabant,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,1650.0,34.7
171.0,5.0,3.0,3.0,2026.0,3.0,3.0,112.0,171.0,50.8336578,4.438482,,house,Brussels,Brussels,C,A,Super equipped,Gas,0,0,1,0,0,0,0,0,0,1,2750.0,71.4
79.0,2.0,,,,,,,,50.86348,4.4166,,flat,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,1200.0,73.7
