livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
82.0,2.0,1.0,1.0,1977.0,2.0,,137.0,,51.24216,4.43234,3.27,flat,Antwerp,Flanders,B,To be renovated,,Gas,0,0,1,0,0,1,0,0,0,0,194000.0,41.6
220.0,4.0,3.0,3.0,2003.0,2.0,5.0,141.0,,50.842365,4.423892,5.22,duplex,Brussels,Brussels,C,Excellent,,Gas,0,0,1,0,0,1,0,0,0,1,795000.0,87.1
280.0,4.0,3.0,4.0,1957.0,4.0,2.0,247.0,1950.0,50.8264638,4.4719741,8.86,house,Brussels,Brussels,E,Excellent,Super equipped,Fuel oil,0,0,1,1,0,1,1,0,0,1,1650000.0,79.1
109.0,3.0,2.0,,,,,,,50.7995221,4.3254387,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,407250.0,76.5
30.0,1.0,1.0,,,,,,,49.9230008,5.3789188,,flatStudio,Luxembourg,Wallonia,E,,,,0,0,0,0,0,0,0,0,0,0,85000.0,33.6
106.0,2.0,1.0,1.0,2024.0,4.0,3.0,,,50.9014962,3.4153118,13.34,flat,West Flanders,Flanders,,New,Super equipped,Hot air,1,0,1,0,0,1,0,0,0,0,393000.0,81.4
97.0,2.0,2.0,1.0,,4.0,3.0,80.0,,50.5528705,4.7034309,15.24,flat,Namur,Wallonia,A,New,,Hot air,1,0,1,0,0,1,0,0,0,0,325000.0,66.0
135.0,3.0,1.0,1.0,1962.0,2.0,1.0,469.0,120.0,50.95636589999999,4.2364599,,house,Flemish Brabant,Flanders,E,B,Super equipped,,0,0,1,1,0,0,0,0,0,0,279000.0,66.7
,1.0,1.0,,,,,,,50.7783087,5.4721673,,flat,Limburg,Flanders,A,,,,0,0,0,0,0,0,0,0,0,0,189000.0,29.2
74.0,1.0,1.0,1.0,1950.0,4.0,1.0,617.0,,50.469385,4.1892216,1.78,house,Hainaut,Wallonia,G,Normal,Fully equipped,,0,0,1,1,0,0,0,0,0,1,149999.0,9.5
120.0,3.0,2.0,,,,,,,51.0317801,3.7698935,,flat,East Flanders,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,509000.0,79.9
394.0,5.0,2.0,,,,,,,50.75519,4.38235,,house,Flemish Brabant,Flanders,D,,,,0,0,0,0,0,0,0,0,0,0,1750000.0,85.2
190.0,2.0,1.0,,,,,,,50.8344816,4.4198245,,flat,Brussels,Brussels,E,,,,0,0,0,0,0,0,0,0,0,0,745000.0,65.8
187.0,3.0,1.0,1.0,1970.0,2.0,1.0,392.0,103.0,50.6736199,5.6643177,7.15,house,Liège,Wallonia,E,Normal,,Gas,0,0,1,1,0,0,0,0,0,1,219000.0,16.9
297.0,4.0,1.0,2.0,1949.0,4.0,,,985.0,51.3110392,4.8544116,,house,Antwerp,Flanders,C,B,Fully equipped,Gas,0,0,1,0,0,0,1,0,1,1,549000.0,23.6
